group_name,int_id,id,length,parent_name,route_name,route_parent_id,opposite_route_int_id
21,1452,c5f8ca11-be46-461f-bab5-fa343b3fa3bf,14023.17511505106,GAMELJNE - BERIČEVO,BERIČEVO;  osnovna,6c0b4ed6-8396-47c8-9eb5-b76372bb1eea,1451
46,1453,a8c4bab8-1aca-4db4-a26b-3e36842eec04,45933.28993429048,Žiri-Smrečje-Vrhnika Jazon-Ljubljana,Ljubljana,ddfe3336-17f0-49e0-98b2-100bd4fee68a,
46,1454,8b8c8a4a-d1ac-4fcc-bacd-536efbc9ee0e,44320.5283137122,Ljubljana AP-Vrhnika  - Smrečje - Žiri,Žiri,0face3a6-121d-4d70-9b88-dc5d0e0ed07e,
15,1455,fb215d1e-d0f2-4fc2-97d7-5d2137d10171,11512.185637951534,STANEŽIČE - MEDVODE,MEDVODE;  osnovna,1e423c9c-7091-4192-8be6-58f63e4ea0ab,1456
15,1456,7dda9b3f-e269-4be1-ab92-eac8c56a0dd2,11231.222120785465,MEDVODE - STANEŽIČE,STANEŽIČE;  osnovna,97556278-1eb1-48de-ab51-df21463316f2,1455
1,1457,70afd74b-27c5-4d2e-b121-ffc57f407c82,17723.53640876982,D VIŽMARJE - DOLGI MOST P+R,D DOLGI MOST P+R; iz Gameljn,43c6fc71-cdac-47b8-8593-2ee2d2f06463,1636
1,1458,da7d93c7-aaff-47f5-906c-fca594405e49,12267.660176017027,D DOLGI MOST P+R - VIŽMARJE,D VIŽMARJE;  osnovna,fdbb4ef9-2384-45bf-bec6-9f873e6c62f5,1542
1,1459,ca7737fb-16ba-434d-aa52-992f868a001f,8955.1444303227,D DOLGI MOST P+R - GARAŽA,D GARAŽA;  osnovna,fad2a084-bc1f-407a-9d60-e7e9a252b064,
1,1460,3ececc0e-9d23-4eb4-a0fa-87b72cbed4ea,18778.041155556948,N DOLGI MOST - BAVARSKI DVOR - GAMELJNE,N GAMELJNE,d256591e-ca3c-4b63-898c-66170a75dae5,
1,1542,59ada969-616a-4195-9838-85e3df4a1d79,12663.158315943578,D VIŽMARJE - DOLGI MOST P+R,D DOLGI MOST P+R;  osnovna,43c6fc71-cdac-47b8-8593-2ee2d2f06463,1458
1,1544,6ae2bc98-2037-4125-a190-baa82d1948d0,10821.527147528284,VIŽMARJE - MESTNI LOG,MESTNI LOG;  osnovna,34b52180-864a-4ef8-ab64-c7dcc3f2c52a,1193
3,1553,e8f428e7-877b-4fae-8bd0-4eb7a911d463,15001.617297584155,B ŠKOFLJICA - LITOSTROJ,B LITOSTROJ;  osnovna,db781c1d-c7c6-4887-84dd-f1b400752a1c,1096
3,1554,5354240d-1181-4c28-8386-be26de176770,13770.758958102686,B ŠKOFLJICA - GARAŽA,B GARAŽA;  osnovna,479f7256-c0ce-4005-9b19-4bc1f092124e,
3,1561,c975b8c2-6758-42ea-8fa1-87c00cdf9970,8572.889271426635,RUDNIK - GARAŽA,GARAŽA;  osnovna,2339913c-c993-4b30-a2e4-01b8e7b23542,
3,1562,3cb8ceaf-fe81-41f8-b6e3-feee8c796030,9778.44206408395,RUDNIK - LITOSTROJ,LITOSTROJ;  osnovna,9027ea9d-4a91-493f-890a-d9a39271e600,1557
6,1563,b42947d6-7883-4c51-9e52-d62b84db7cfc,13344.747881817499,B BEŽIGRAD - NOTRANJE GORICE,B NOTRANJE GORICE;  osnovna,3fc1f100-bb01-4059-ba6b-6fd9aeb57c55,1409
6,1564,8bb3ba36-76a5-4518-aae3-606964a176cc,11434.78101173381,ČRNUČE - DOLGI MOST P+R,DOLGI MOST P+R;  osnovna,d8b36981-6d06-4580-8513-dec98431a320,345
11,1568,d6cacbf0-93ca-4364-af28-4d29e9540e69,17664.658703602512,JEŽICA P+R - ZALOG,ZALOG;  osnovna,93b156dc-3400-4965-8627-b28fca3a83f8,1445
27,1575,e3a0339b-d102-47d1-915f-7a9989d0f599,13672.26633620553,NS RUDNIK - BTC - LETALIŠKA,LETALIŠKA;  osnovna,75f5e765-4699-48c0-b08d-52321a04d70e,730
27,1576,d1c7fffc-85e3-4e2e-b610-d51162dea836,9272.057231423008,NS RUDNIK - GARAŽA,GARAŽA;  osnovna,4ca04079-fae5-4917-8f4b-46f57737fc17,
19,1579,5b665275-d9ad-4f70-b9d4-e28228ce2772,20334.173138373924,B JEZERO - TOMAČEVO,B TOMAČEVO;  osnovna,c0a5cf1d-b590-4534-8101-68186b899c4b,1580
19,1580,9ecb6b94-5ad9-4576-8fe3-1c1e726f3e3f,20163.87525200638,B TOMAČEVO - JEZERO,B JEZERO;  osnovna,a6ebae30-760e-46b0-a396-50500ec3ccf1,1579
19,1581,71a0614d-68a6-46f9-b6f8-a596cd0ca557,21053.291250834794,I IŠKA VAS - TOMAČEVO,I TOMAČEVO;  osnovna,f08bb885-6f3a-49c2-9d29-935479c596fb,1582
19,1582,8e062799-70b6-4aea-911b-5dbdd12781f5,20985.352674835878,I TOMAČEVO - IŠKA VAS,I IŠKA VAS;  osnovna,d3a5e43c-22f1-4ed5-874c-d73c297d04cc,1581
19,1583,b4124f87-0823-4274-a69b-331c42c8d791,18580.03634658269,B JEZERO - GARAŽA,B GARAŽA;  osnovna,60c71526-0c5b-4542-bc69-9276ecdef300,
19,1584,226673bb-72c3-466c-9b43-a07e3ee40610,19396.812239206087,I IŠKA VAS - GARAŽA,I GARAŽA;  osnovna,5652cb64-730a-4726-b33e-56f2cb23d7ab,
19,1585,83666c35-6460-496c-8a51-bfcc8419029f,16998.90154478248,I TOMAČEVO - IG AP,I IG A.P.;  osnovna,d141efe5-8183-440c-a0a2-f8b3865acbfc,
9,1586,58a9932e-e6e7-4d25-aa53-f8d28b5ca23e,9458.643047422294,BARJE P+R - ŠTEPANJSKO NAS.,ŠTEPANJSKO NAS.;  osnovna,629b2c68-4429-47e7-80b7-c88897876d5a,1587
9,1587,53634c35-3411-4626-b7eb-3fc2785a1ba7,9386.47479451713,ŠTEPANJSKO NAS. - BARJE P+R,BARJE P+R;  osnovna,be671927-810c-44ae-b402-68985b57eeed,1586
9,1588,efe8d3db-4e34-4bb8-a502-a1442ddc1027,6698.982217809009,BARJE P+R - GARAŽA,GARAŽA;  osnovna,7c002e66-b799-4b4b-b689-cb7532235750,
